idx,root_id,primary_type,additional_type,super_class,role
151,720575940610605614,DNge119,,descending,output
152,720575940610605747,CB0027,,central,interneuron
153,720575940610621742,JO-B,,sensory,input_wind
154,720575940610638434,CB1078,aPN1,central,interneuron
155,720575940610674581,JO-B,,sensory,input_wind
156,720575940610681829,LPLC2,,visual_projection,input_vision
157,720575940610707780,Y3,,optic,interneuron
158,720575940610734449,LPLC4,,visual_projection,interneuron
159,720575940610738898,PS181,,central,interneuron
160,720575940610739666,JO-B,,sensory,input_wind
161,720575940610753656,JO-B,,sensory,input_wind
162,720575940610872014,DNge011,,descending,output
163,720575940610953651,LPLC2,,visual_projection,input_vision
164,720575940611000274,JO-B,,sensory,input_wind
165,720575940611008718,CB0810,,motor,output
166,720575940611015958,CL121_a,"CL121, aDT5a",central,interneuron
167,720575940611080922,PVLP139,,central,interneuron
168,720575940611091012,CB3513b,,central,interneuron
169,720575940611108676,DNge138,,descending,output
170,720575940611134833,LC4,,visual_projection,interneuron
171,720575940611154162,LPC1,,visual_projection,interneuron
172,720575940611154786,JO-B,,sensory,input_wind
173,720575940611172465,CL121_a,"CL121, aDT5a",central,interneuron
174,720575940611249635,SAD015,SAD018,central,interneuron
175,720575940611277293,CB1078,"B1-1, aPN1",central,interneuron
176,720575940611347123,PVLP130,,central,interneuron
177,720575940611352234,LPLC2,,visual_projection,input_vision
178,720575940611361486,LPC1,,visual_projection,interneuron
179,720575940611388141,CB3673,B1,central,interneuron
180,720575940611392986,JO-B,,sensory,input_wind
181,720575940611425498,LPLC4,,visual_projection,interneuron
182,720575940611474138,SAD015,SAD018,central,interneuron
183,720575940611499673,CB1920,,central,interneuron
184,720575940611506966,LPLC4,,visual_projection,interneuron
185,720575940611539865,PS005,,central,interneuron
186,720575940611553138,LPC1,,visual_projection,interneuron
187,720575940611567638,LPLC2,,visual_projection,input_vision
188,720575940611588835,SAD049,,central,interneuron
189,720575940611597298,CB0758,B2,central,interneuron
190,720575940611602552,PVLP122b,PVLP122,central,interneuron
191,720575940611604776,CB2023,,central,interneuron
192,720575940611610737,CB0534,,central,interneuron
193,720575940611622826,DNpe025,PVLP145,descending,output
194,720575940611644529,DNp06,,descending,output
195,720575940611674265,CB3245,,central,interneuron
196,720575940611740569,LPLC2,,visual_projection,input_vision
197,720575940611813842,DNge050,,descending,output
198,720575940611821334,LPLC2,,visual_projection,input_vision
199,720575940611864243,CB3710,B1-5,central,interneuron
200,720575940611904296,AN_multi_103,,ascending,interneuron
201,720575940611929202,AVLP040,,central,interneuron
202,720575940611961878,PVLP111,pIP7,central,interneuron
203,720575940611988391,CB2475,B1,central,interneuron
204,720575940612001489,AMMC-A1,A1,central,interneuron
205,720575940612016498,CB3486,,central,interneuron
206,720575940612029297,JO-B,,sensory,input_wind
207,720575940612045352,LPLC2,,visual_projection,input_vision
208,720575940612054425,CB0533,,central,interneuron
209,720575940612058543,DNge145,,descending,output
210,720575940612078511,SAD021_c,,central,interneuron
211,720575940612093351,LC4,,visual_projection,interneuron
212,720575940612096462,LPLC2,,visual_projection,input_vision
213,720575940612129962,JO-B,,sensory,input_wind
214,720575940612146174,CB1542,"B1-2, aPN1",central,interneuron
215,720575940612153086,CB3692,B1,central,interneuron
216,720575940612193682,CB3105,,central,interneuron
217,720575940612203482,DNp05,,descending,output
218,720575940612204949,LC14a1,LC14,optic,interneuron
219,720575940612217818,JO-C,,sensory,input_wind
220,720575940612235439,JO-B,,sensory,input_wind
221,720575940612254701,LPLC2,,visual_projection,input_vision
222,720575940612323025,LC4,,visual_projection,interneuron
223,720575940612338674,CB1969,,central,interneuron
224,720575940612355763,JO-B,,sensory,input_wind
225,720575940612380723,LC4,,visual_projection,interneuron
226,720575940612407581,JO-B,,sensory,input_wind
227,720575940612409885,JO-B,,sensory,input_wind
228,720575940612418483,JO-B,,sensory,input_wind
229,720575940612419763,JO-B,,sensory,input_wind
230,720575940612446744,JO-B,,sensory,input_wind
231,720575940612462307,LPLC2,,visual_projection,input_vision
232,720575940612488341,DNpe045,DNp23,descending,output
233,720575940612498129,LC4,,visual_projection,interneuron
234,720575940612518055,LC4,,visual_projection,interneuron
235,720575940612523571,CB1542,"B1-2, aPN1",central,interneuron
236,720575940612560680,LPLC2,,visual_projection,input_vision
237,720575940612580977,LC4,,visual_projection,interneuron
238,720575940612585577,JO-B,,sensory,input_wind
239,720575940612612094,PVLP151,,central,interneuron
240,720575940612615833,JO-B,,sensory,input_wind
241,720575940612647166,JO-B,,sensory,input_wind
242,720575940612710883,CB0563,,central,interneuron
243,720575940612752611,LT82,"LT82a, LT82b",visual_projection,interneuron
244,720575940612766691,LPLC2,,visual_projection,input_vision
245,720575940612819367,LTe65,PS273,visual_projection,interneuron
246,720575940612840982,VESa1_P02,hb1663021115,central,interneuron
247,720575940612874536,LPLC2,,visual_projection,input_vision
248,720575940612879010,CB1038,,central,interneuron
249,720575940612944382,LPLC2,,visual_projection,input_vision
250,720575940612956378,JO-B,,sensory,input_wind
251,720575940612968421,LC4,,visual_projection,interneuron
252,720575940612975085,CB3739,,central,interneuron
253,720575940612975853,CB1498,AVLP/PVLP_pr01,central,interneuron
254,720575940612994929,LPLC2,,visual_projection,input_vision
255,720575940613006590,JO-B,,sensory,input_wind
256,720575940613009558,CB0659,hb2099569065,central,interneuron
257,720575940613025331,PLP093,,central,interneuron
258,720575940613074602,LPC1,,visual_projection,interneuron
259,720575940613120618,CB2501,,central,interneuron
260,720575940613127314,JO-B,,sensory,input_wind
261,720575940613145258,LPLC2,,visual_projection,input_vision
262,720575940613191391,CB0344,,central,interneuron
263,720575940613219474,LPLC2,,visual_projection,input_vision
264,720575940613238418,LPLC4,,visual_projection,interneuron
265,720575940613256863,LC4,,visual_projection,interneuron
266,720575940613260959,LC4,,visual_projection,interneuron
267,720575940613311151,CB0090,B2,central,interneuron
268,720575940613380914,SAD053,B1-4,central,interneuron
269,720575940613408563,,,central,interneuron
270,720575940613422860,CB2789,B1,central,interneuron
271,720575940613436327,CL323b,CL323,central,interneuron
272,720575940613442070,SMP068,,central,interneuron
273,720575940613469545,JO-B,,sensory,input_wind
274,720575940613470947,LPLC2,,visual_projection,input_vision
275,720575940613491826,LPLC4,,visual_projection,interneuron
276,720575940613497395,AN_GNG_SAD_3,,ascending,interneuron
277,720575940613528616,CB3416,PVLP031,central,interneuron
278,720575940613603737,AN_multi_103,,ascending,interneuron
279,720575940613608685,LPLC4,,visual_projection,interneuron
280,720575940613609484,LC4,,visual_projection,interneuron
281,720575940613622014,JO-B,,sensory,input_wind
282,720575940613626521,CB0397,,central,interneuron
283,720575940613631973,LT61a,LT61,visual_projection,interneuron
284,720575940613638041,LC4,,visual_projection,interneuron
285,720575940613641915,JO-EDP,,sensory,interneuron
286,720575940613643122,LMa1,,optic,interneuron
287,720575940613696552,JO-B,,sensory,input_wind
288,720575940613708812,CB1816,,central,interneuron
289,720575940613763759,LPLC2,,visual_projection,input_vision
290,720575940613764817,CB1638,,central,interneuron
291,720575940613776962,JO-B,,sensory,input_wind
292,720575940613783038,JO-B,,sensory,input_wind
293,720575940613804906,LPLC2,,visual_projection,input_vision
294,720575940613821290,LPLC2,,visual_projection,input_vision
295,720575940613857130,LPC1,,visual_projection,interneuron
296,720575940613867938,AVLP370a,AVLP370,central,interneuron
297,720575940613924271,JO-B,,sensory,input_wind
298,720575940613934965,JO-B,,sensory,input_wind
299,720575940613940074,CB0143,,central,interneuron
300,720575940613954194,CB2162,,central,interneuron
301,720575940613956767,JO-B,,sensory,input_wind
302,720575940613984578,LPLC4,,visual_projection,interneuron
303,720575940614005958,CB1455,aSP18,central,interneuron
304,720575940614014614,JO-A,,sensory,interneuron
305,720575940614018060,CB0033,IPS_pr02,central,interneuron
306,720575940614026390,CB1948,,central,interneuron
307,720575940614058719,LPLC4,,visual_projection,interneuron
308,720575940614067167,LPLC2,,visual_projection,input_vision
309,720575940614087219,CB0534,,central,interneuron
310,720575940614137907,DNp104,CL324,descending,output
311,720575940614138577,AN_multi_8,,ascending,interneuron
312,720575940614165866,CB2501,,central,interneuron
